Authors,Title,Year,Source title,Abstract,Author Keywords,Source,Search string
Van Bossuyt D.L.; Hale B.; Arlitt R.; Papakonstantinou N.,Zero-Trust for the System Design Lifecycle,2023,Journal of Computing and Information Science in Engineering,"In an age of worsening global threat landscape and accelerating uncertainty, the design and manufacture of systems must increase resilience and robustness across both the system itself and the entire systems design process. We generally trust our colleagues after initial clearance/background checks; and systems to function as intended and within operating parameters after safety engineering review, verification, validation, and/ or system qualification testing. This approach has led to increased insider threat impacts; thus, we suggest moving to the ""trust, but verify""approach embodied by the Zero-Trust paradigm. Zero-Trust is increasingly adopted for network security but has not seen wide adoption in systems design and operation. Achieving the goal of Zero-Trust throughout the systems lifecycle will help to ensure that no single bad actor-whether human or machine learning/artificial intelligence (ML/AI)-can induce failure anywhere in a system's lifecycle. Additionally, while ML/AI and their associated risks are already entrenched within the operations phase of many systems' lifecycles, ML/AI is gaining traction during the design phase. For example, generative design algorithms are increasingly popular, but there is less understanding of potential risks. Adopting the Zero-Trust philosophy helps ensure robust and resilient design, manufacture, operations, maintenance, upgrade, and disposal of systems. We outline the rewards and challenges of implementing Zero-Trust and propose the framework for Zero-Trust for the system design lifecycle. This article highlights several areas of ongoing research with focus on high priority areas where the community should focus efforts. © 2023 by ASME.",artificial intelligence; cyber physical security for factories; cyber physical system design and operation; information management; machine learning for engineering applications; model-based systems engineering; system design; systems engineering; Zero-Trust,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Zhang J.; Yang S.,Recommendations for the Model-Based Systems Engineering Modeling Process Based on the SysML Model and Domain Knowledge,2024,Applied Sciences (Switzerland),"Model-based systems engineering (MBSE) is a modeling approach used in industry to support the formalization, analysis, design, checking and verification of systems. In MBSE modeling, domain knowledge is the basis of the modeling. However, modeling does not happen overnight; it requires systematic training and a significant investment of resources. Unfortunately, many domain experts lack the expertise required for modeling, even though they know the domain well. The question arises about how to provide system modelers with domain knowledge at the right time to support the efficient completion of modeling. Since MBSE research that integrates AI is just beginning to take off, no public dataset is available. In this paper, aerospace SysML models are constructed based on spacecraft-related domain knowledge to form SysML model data. The validation rules are studied to validate the SysML model data, and combined with the concept of the recommended system, a recommendation method for the MBSE modeling process based on the knowledge and SysML model is proposed. A GLOVE language model is pre-trained by using domain knowledge and general knowledge; the model data are also used to fine-tune the GLOVE language model combined with the pre-training to recommend some domain development processes. The recommendation list is manually quality-verified and fed into the pre-training phase, while new requirement texts are continuously added in the fine-tuning phase, resulting in a more relevant and accurate recommendation list. Experiments show that the incremental recommender system can not only effectively recommend SysML models, but also improve the quality and efficiency of MBSE development. © 2024 by the authors.",domain modeling; MBSE; NLP; recommendation,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Zhu D.; Yin H.; Xu Y.; Wu J.; Zhang B.; Cheng Y.; Yin Z.; Yu Z.; Wen H.; Li B.,A Survey of Advanced Information Fusion System: from Model-Driven to Knowledge-Enabled,2023,Data Science and Engineering,"Advanced knowledge engineering (KE), represented by knowledge graph (KG), drives the development of various fields and engineering technologies and provides various knowledge fusion and knowledge empowerment interfaces. At the same time, advanced system engineering (SE) takes model-based system engineering (MBSE) as the core to realize formal modeling and process analysis of the whole system. The two complement each other and are the key technologies for the transition from 2.0 to 3.0 in the era of artificial intelligence and the transition from perceptual intelligence to cognitive intelligence. This survey summarizes an advanced information fusion system, from model-driven to knowledge-enabled. Firstly, the concept, representative methods, key technologies and application fields of model-driven system engineering are introduced. Then, it introduces the concept of knowledge-driven knowledge engineering, summarizes the architecture and construction methods of advanced knowledge engineering and summarizes the application fields. Finally, the combination of advanced information fusion systems, development opportunities and challenges are discussed. © 2023, The Author(s).",Information system; Knowledge engineering; Knowledge graph; Model-based system engineering; System engineering,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Iswariya V.T.; Reddy A.S.; Veni V.N.K.; Jayaprakash M.; Rao T.R.,Digital Twins in Drug Discovery: A Paradigm Shift Shaping Pharmaceutical Innovation,2024,International Journal of Pharmaceutical Sciences and Nanotechnology,"Digital twin technology is a groundbreaking concept of constructing virtual replicas of physical entities and processes. It operates at the juncture of Artificial Intelligence and the Internet of Things, emerging as a significant competence in Model-Based Systems Engineering (MBSE). This transformative technology fosters a profound link between the digital and physical realms by incorporating physical models, sensor updates, multidisciplinary models, and multi-scale and multi-probability simulations in a virtual space. The applications of digital twins extend across diverse domains, including industrial production, product design, healthcare, and drug discovery. Benefits encompass predictive modelling, cost reduction, personalized medicine, and improved quality control. Nevertheless, digital twin technology challenges complexity, validation, quality assurance, and availability. In the pharmaceutical sector, digital twins are poised to revolutionize drug development, accelerate clinical trials, and enhance the safety and efficacy of pharmaceuticals. In networking, they also promise efficient data-driven network management, enabling innovation and rich network applications. However, this evolution has challenges, particularly the stringent regulatory requirements, data privacy concerns, and ethical implications. As digital twin technology matures, it will be pivotal in reshaping the future of healthcare and pharmaceuticals. This dynamic transformation signifies the industry's commitment to innovation, with the promise of delivering enhanced patient outcomes while remaining steadfast in compliance with evolving regulatory standards. © 2024 Pharma Book Syndicate. All rights reserved.",Digital twins; Drug development; In silico; Internet of Things; Model-Based Systems Engineering,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Singh M.; Bansal S.; Vandana; Panigrahi B.K.; Garg A.,A Genetic Algorithm and RNN-LSTM Model for Remaining Battery Capacity Prediction,2022,Journal of Computing and Information Science in Engineering,"Li-ion batteries have diversified applications in everyday life. The temperature change, overcharging and over-discharging, is playing critical roles in affecting battery life in a significant manner. In this paper, the deep learning-based method is applied for the prognostics of a single Li-ion battery. The proposed design uses a recurrent neural network variant, long–short-term memory. The model’s parameters are optimized through a genetic algorithm-based parameter selector. The method applies to a sequence of data values comprising of the voltage, the charge capacity, the current, and the temperature. The estimation of battery capacity is not only based on the current or defined state of battery, instead, it is generated on the complete data profile. The robustness of the model is tested by comparing it with techniques such as support vector regressor, Kalman filter, and neural networks on normal and noisy test sets. The paper also proposes a feature selection and engineering scheme for battery capacity prediction. The proposed model outperforms the techniques available in the literature with high generalization to noise and other perturbations. The model is independent of the section of the charging curve used for the prediction of battery capacity. Various experimentation has been conducted on the model and the; results have been validated. © 2022 by ASME.",artificial intelligence; big data and analytics; data-driven engineering; model-based systems engineering; process modeling for engineering applications,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Mengyan H.; Xueyan Z.; Cuiting P.; Yixuan Z.; Jun Y.,Current status of digital twin architecture and application in nuclear energy field,2024,Annals of Nuclear Energy,"Digital Twin (DT) technology has gained significant attention in various areas, including nuclear energy. Technologies such as machine learning, artificial intelligence, and high-fidelity modeling and simulation have been studied to further the digitalization of the nuclear industry. In this paper, an overview of the DT initiatives and developments for the design optimization and intelligent transformation of nuclear energy systems is described to provide a development trend of DT technology for nuclear reactors. For the design of DT for complex systems such as nuclear reactors, Model Based Systems Engineering (MBSE) technology offers requirements models, design processes, and system verification that are clearer, more precise, and more comprehensive. Four properties of Digital Twin for Nuclear Reactor System (DTNRS) are summarized, which are given by the block definition diagram of MBSE philosophy. Then, to bridge the gap between numerical models and theoretical research of DT, a systematic and hierarchical “V” architecture is proposed, which reflects the digital-related technologies of the DTNRS throughout the whole life cycle. Furthermore, a four-layered decomposition construction model is developed and a prospective application scenario of DTNRS is pictured. Finally, the five-step instructive demonstration of the DTNRS is given based on a Generation III (GEN-III) reactor with its visualized condition map. © 2024 Elsevier Ltd",Digital reactor; Digital twin; MBSE; Systematic and hierarchical “V” architecture; Thermal-hydraulic,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
Tomiyama T.; Lutters E.; Stark R.; Abramovici M.,Development capabilities for smart products,2019,CIRP Annals,"Smart products supported by new step-changing technologies, such as Internet of Things and artificial intelligence, are now emerging in the market. Smart products are cyber physical systems with services through Internet connection. For example, smart vehicles equipped with advanced embedded intelligence are connected to other vehicles, people, and environment, and offer innovative data-driven services. Since smart products are software-intensive, data-driven, and service-conscious, their development clearly needs new capabilities underpinned by advanced tools, methods, and models. This paper reviews the status and trends of these emerging development technologies such as model-based systems engineering and digital twin. © 2019",Design; Model-based systems engineering; Product development,Scopus,"( TITLE-ABS-KEY ( ""ai"" ) OR TITLE-ABS-KEY ( ""artificial intelligence"" ) ) AND ( TITLE-ABS-KEY ( ""mbse"" ) OR TITLE-ABS-KEY ( ""model-based systems engineering"" ) ) AND ( TITLE-ABS-KEY ( ""review"" ) OR TITLE-ABS-KEY ( ""survey"" ) OR TITLE-ABS-KEY ( ""systematic"" ) OR TITLE-ABS-KEY ( ""scoping"" ) OR TITLE-ABS-KEY ( ""literature"" ) OR TITLE-ABS-KEY ( ""state of the art"" ) OR TITLE-ABS-KEY ( ""overview"" ) ) AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND PUBYEAR > 2018 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE , ""re"" ) OR LIMIT-TO ( DOCTYPE , ""ar"" ) )"
"Wang, Baomin; Huang, Tingli; Zhou, Lujie; Guan, Lin; Wan, Keyan",Integration of EMU Overall Design Model Based on Ontology-Knowledge Collaboration,2024,APPLIED SCIENCES-BASEL,"The whole train design of an Electric Multiple Unit (EMU) involves multiple domains and scenarios, thus requiring comprehensive consideration of various factors during the design process. Traditional design methods often utilize text-based approaches to model systems; however, such documentation-based designs often suffer from semantic heterogeneity, inconsistent data sources, and also struggle to provide a more intuitive overview of the overall design process. To address these issues, this paper proposes a method based on ontology-knowledge collaborative drive to achieve integration of the overall EMU design. Firstly, we employ the System Modeling Language (SysML) to construct the Model-Based Systems Engineering (MBSE) model of the EMU, establishing functional and physical architecture element models, with the EMU MBSE model serving as input. Subsequently, in the requirement model, architecture model, and traceability model, we utilize top-level ontology to construct the EMU ontology framework in a top-down manner. Lastly, leveraging the Neo4j database, we employ a knowledge graph (KG) approach to fill domain knowledge into each model in a bottom-up manner, thereby realizing the ontology-knowledge collaborative drive for the overall EMU design construction. The effectiveness of the proposed method is validated using the EMU Passenger Information System (PIS) and Traction transformer System (TS) as examples.",EMU overall design; model-based systems engineering; meta-model; ontology; knowledge graph,Web of Science,"(TS=(""ai"") OR TS=(""artificial intelligence"")) AND (TS=(""mbse"") OR TS=(""model-based systems engineering"")) AND ( TS=(""review"") OR TS=(""survey"") OR TS=(""systematic"") OR TS=(""scoping"") OR TS=(""literature"") OR TS=(""state of the art"") OR TS=(""overview"")) AND PY=2019-2024"
